DATE,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,Mean Dew PointF,Min Dew PointF,Max Humidity,Mean Humidity,Min Humidity,Max Wind SpeedMPH,Mean Wind SpeedMPH,Min Wind SpeedMPH,Max PressureHG,Mean PressureHG,Min PressureHG,PrecipitationIn
2018-1-1,90,83.8,81,73,72.4,70,79,69.5,55,16,10.2,5,29.9,29.8,29.7,0.0
2018-1-2,88,83.1,81,73,72.5,72,79,71.0,58,13,8.9,5,29.8,29.8,29.7,0.0
2018-1-3,88,83.1,81,73,72.3,70,79,70.6,58,12,7.7,3,29.8,29.8,29.7,0.0
2018-1-4,88,83.1,79,73,72.7,72,83,71.7,58,12,8.1,2,29.9,29.8,29.8,0.0
2018-1-5,88,83.0,81,73,72.8,72,79,72.3,62,17,10.5,6,29.9,29.8,29.8,0.0
2018-1-6,90,82.8,79,73,72.7,72,83,72.3,55,17,10.6,6,29.9,29.8,29.7,0.0
2018-1-7,88,83.4,81,73,71.9,70,79,68.7,55,17,11.7,7,29.8,29.8,29.7,0.0
2018-1-8,88,82.3,77,73,72.2,70,83,71.8,58,17,10.0,5,29.9,29.8,29.7,0.0
2018-1-9,84,80.4,73,75,72.4,70,94,77.6,66,14,8.9,5,29.9,28.7,0.0,0.0
2018-1-10,81,79.5,75,75,72.8,72,94,81.2,74,12,6.7,3,29.9,28.7,0.0,0.0
2018-1-11,88,80.0,72,73,71.0,68,89,74.1,58,14,8.7,3,29.9,29.8,29.8,0.0
2018-1-12,88,82.0,77,73,71.8,70,83,70.9,55,17,10.0,3,29.8,29.8,29.7,0.0
2018-1-13,88,81.4,75,75,72.6,72,94,75.2,58,21,11.8,5,29.8,28.6,0.0,0.0
2018-1-14,88,82.5,79,75,73.4,73,89,75.3,62,18,12.7,7,29.8,29.8,29.7,0.0
2018-1-15,90,83.3,79,75,72.3,70,83,70.1,55,23,14.8,7,29.8,29.8,29.7,0.0
2018-1-16,90,83.3,79,73,71.0,66,78,66.7,46,25,15.7,8,29.9,29.8,29.7,0.0
2018-1-17,88,83.5,81,73,71.5,68,74,67.5,55,22,16.0,10,29.8,29.8,29.7,0.0
2018-1-18,86,81.0,75,75,73.3,72,94,78.9,66,21,12.7,7,29.8,28.6,0.0,0.0
2018-1-19,86,81.3,75,75,73.1,72,94,77.4,66,14,7.5,2,29.9,28.6,0.0,0.0
2018-1-20,88,80.8,75,75,73.3,72,94,79.0,62,15,9.7,5,29.8,29.8,29.7,0.0
2018-1-21,88,82.9,77,75,73.5,72,89,74.3,58,18,12.3,6,29.8,29.8,29.7,0.0
2018-1-22,88,83.0,81,75,73.3,72,84,73.5,62,22,13.7,9,29.8,29.7,29.7,0.0
2018-1-23,84,81.7,79,75,73.7,73,89,77.9,70,16,11.6,6,29.8,29.7,29.7,0.0
2018-1-24,84,79.7,73,77,74.4,72,94,84.9,74,16,8.4,0,29.8,24.2,0.0,0.0
2018-1-25,86,81.3,79,75,74.0,73,89,80.2,66,14,8.6,3,29.8,26.0,0.0,0.0
2018-1-26,86,81.8,79,75,73.4,72,89,77.0,66,13,7.1,3,29.8,29.7,29.7,0.0
2018-1-27,81,77.5,73,75,73.2,72,94,87.5,79,12,6.2,2,29.8,29.7,29.7,0.0
2018-1-28,84,79.7,75,77,73.8,70,94,83.5,66,14,6.1,0,29.8,27.2,0.0,0.0
2018-1-29,86,81.9,79,77,73.5,72,94,76.6,66,18,10.6,2,29.8,28.5,0.0,0.0
2018-1-30,86,81.5,77,75,73.0,72,89,76.4,66,18,11.3,6,29.8,27.2,0.0,0.0
2018-1-31,88,83.0,79,75,73.2,72,83,73.4,62,21,14.5,7,29.8,29.7,29.6,0.0
2018-2-1,88,82.9,79,75,73.4,72,84,74.3,62,20,13.3,8,29.8,29.7,29.6,0.0
