DATE,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,Mean Dew PointF,Min Dew PointF,Max Humidity,Mean Humidity,Min Humidity,Max Wind SpeedMPH,Mean Wind SpeedMPH,Min Wind SpeedMPH,Max PressureHG,Mean PressureHG,Min PressureHG,PrecipitationIn
2018-4-1,88,82.8,77,79,76.9,75,100,83.0,66,17,10.4,6,29.8,28.5,0.0,0.00
2018-4-2,82,79.8,77,79,76.1,73,100,89.6,74,14,7.9,3,29.8,28.5,0.0,0.00
2018-4-3,88,81.7,75,77,75.0,73,100,81.6,62,16,9.0,2,29.8,28.4,0.0,0.00
2018-4-4,88,78.5,0,79,73.4,0,100,81.4,0,18,8.3,2,29.7,24.0,0.0,0.00
2018-4-5,88,82.5,79,77,76.3,73,94,82.3,66,12,6.2,2,29.8,29.7,29.6,0.00
2018-4-6,86,81.2,77,77,71.6,0,94,78.2,0,9,5.3,2,29.8,26.0,0.0,0.00
2018-4-7,88,81.7,77,77,74.8,73,94,80.5,62,9,4.6,2,29.8,29.8,29.7,0.00
2018-4-8,93,79.7,73,77,74.1,72,100,84.5,52,14,4.9,0,29.8,26.1,0.0,0.00
2018-4-9,86,79.7,75,77,74.7,73,100,85.7,70,16,6.3,2,29.8,29.8,29.7,0.00
2018-4-10,88,80.0,75,75,73.8,72,94,82.8,58,17,8.7,5,29.8,28.5,0.0,0.00
2018-4-11,82,79.0,75,77,74.3,72,100,87.0,74,10,5.3,2,29.8,29.8,29.7,0.00
2018-4-12,86,79.1,73,75,73.0,72,100,83.0,62,12,5.0,1,29.8,29.8,29.7,0.00
2018-4-13,86,80.3,77,75,73.8,73,94,82.5,66,14,7.0,3,29.9,29.8,29.8,0.00
2018-4-14,88,81.6,75,75,73.8,72,94,78.8,58,10,5.2,2,29.9,29.8,29.8,0.00
2018-4-15,86,77.6,0,77,72.5,0,94,81.4,0,10,5.6,0,29.9,29.8,29.8,0.00
2018-4-16,84,76.7,0,77,71.8,0,100,81.9,0,13,6.2,1,29.9,27.3,0.0,0.00
2018-4-17,84,77.2,73,77,73.3,72,100,88.6,70,13,7.8,3,29.9,26.3,0.0,0.00
2018-4-18,88,80.9,75,77,73.7,72,94,80.1,62,21,10.7,5,29.9,29.9,29.8,0.00
2018-4-19,88,82.4,77,77,74.5,72,94,78.8,62,18,10.1,3,29.9,29.9,29.8,0.00
2018-4-20,88,82.5,77,77,75.3,72,100,80.1,62,17,9.5,2,29.9,29.8,29.7,0.00
2018-4-21,86,81.5,77,77,74.0,72,89,78.9,66,18,10.4,5,29.8,29.8,29.7,0.00
2018-4-22,90,82.4,77,77,74.7,73,94,78.7,59,18,10.6,3,29.8,29.8,29.7,0.00
2018-4-23,90,81.2,75,77,73.9,70,100,80.0,55,20,12.8,7,29.9,29.8,29.7,0.00
2018-4-24,88,81.1,75,75,73.6,70,100,79.5,55,18,9.8,3,29.9,29.8,29.8,0.00
2018-4-25,88,81.9,77,77,73.6,70,94,77.3,58,17,8.6,2,29.9,29.8,29.8,0.00
2018-4-26,88,82.4,77,77,74.8,72,94,79.0,62,16,9.9,6,29.9,29.8,29.8,0.00
2018-4-27,88,81.9,75,79,74.5,70,94,79.4,58,20,11.0,6,29.9,29.8,29.7,0.00
2018-4-28,90,83.0,77,77,75.3,72,94,78.6,59,21,13.0,6,29.9,29.8,29.7,0.00
2018-4-29,88,81.7,77,77,74.5,72,100,79.8,58,20,11.4,5,29.9,29.8,29.8,0.00
2018-4-30,88,80.7,77,77,75.9,73,100,86.6,66,14,7.5,2,29.9,29.8,29.7,0.00
